bpm,source,timestamp
77,awake,2023-10-11T21:00:28+00:00
69,awake,2023-10-11T21:00:29+00:00
73,awake,2023-10-11T21:00:32+00:00
69,awake,2023-10-11T21:05:26+00:00
71,awake,2023-10-11T21:05:33+00:00
75,awake,2023-10-11T21:06:34+00:00
72,awake,2023-10-11T21:11:45+00:00
68,awake,2023-10-11T21:11:57+00:00
75,awake,2023-10-11T21:12:24+00:00
74,awake,2023-10-11T21:16:57+00:00
66,awake,2023-10-11T21:17:11+00:00
70,awake,2023-10-11T21:17:24+00:00
72,awake,2023-10-11T21:24:27+00:00
61,awake,2023-10-11T21:24:47+00:00
67,awake,2023-10-11T21:24:48+00:00
64,awake,2023-10-11T21:34:26+00:00
70,awake,2023-10-11T21:34:37+00:00
62,awake,2023-10-11T21:35:01+00:00
67,awake,2023-10-11T21:36:46+00:00
64,awake,2023-10-11T21:37:49+00:00
61,awake,2023-10-11T21:37:54+00:00
69,awake,2023-10-11T21:45:08+00:00
61,awake,2023-10-11T21:45:17+00:00
65,awake,2023-10-11T21:45:18+00:00
65,awake,2023-10-11T21:47:24+00:00
73,awake,2023-10-11T21:47:29+00:00
68,awake,2023-10-11T21:49:04+00:00
60,awake,2023-10-11T21:53:56+00:00
67,awake,2023-10-11T21:53:58+00:00
63,awake,2023-10-11T21:54:16+00:00
69,awake,2023-10-11T21:58:31+00:00
63,awake,2023-10-11T21:58:38+00:00
60,awake,2023-10-11T21:58:39+00:00
60,awake,2023-10-11T22:03:31+00:00
72,awake,2023-10-11T22:03:33+00:00
57,awake,2023-10-11T22:03:42+00:00
68,awake,2023-10-11T22:05:59+00:00
62,awake,2023-10-11T22:06:42+00:00
72,awake,2023-10-11T22:06:55+00:00
77,awake,2023-10-11T22:11:23+00:00
67,awake,2023-10-11T22:11:26+00:00
66,awake,2023-10-11T22:11:30+00:00
68,awake,2023-10-11T22:13:32+00:00
69,awake,2023-10-11T22:13:34+00:00
66,awake,2023-10-11T22:14:00+00:00
64,awake,2023-10-11T22:16:27+00:00
74,awake,2023-10-11T22:17:08+00:00
70,awake,2023-10-11T22:17:15+00:00
63,awake,2023-10-11T22:20:56+00:00
70,awake,2023-10-11T22:20:59+00:00
73,awake,2023-10-11T22:21:29+00:00
65,awake,2023-10-11T22:23:28+00:00
62,awake,2023-10-11T22:23:29+00:00
67,awake,2023-10-11T22:23:50+00:00
78,awake,2023-10-11T23:02:18+00:00
81,awake,2023-10-11T23:02:19+00:00
76,awake,2023-10-11T23:02:21+00:00
82,awake,2023-10-11T23:05:45+00:00
88,awake,2023-10-11T23:06:25+00:00
85,awake,2023-10-11T23:06:29+00:00
86,awake,2023-10-11T23:10:02+00:00
82,awake,2023-10-11T23:10:53+00:00
84,awake,2023-10-11T23:11:07+00:00
72,awake,2023-10-11T23:15:31+00:00
80,awake,2023-10-11T23:16:13+00:00
75,awake,2023-10-11T23:16:39+00:00
74,awake,2023-10-11T23:20:57+00:00
77,awake,2023-10-11T23:20:58+00:00
71,awake,2023-10-11T23:21:01+00:00
74,awake,2023-10-11T23:22:26+00:00
76,awake,2023-10-11T23:23:21+00:00
80,awake,2023-10-11T23:23:30+00:00
72,awake,2023-10-11T23:27:37+00:00
73,awake,2023-10-11T23:27:38+00:00
77,awake,2023-10-11T23:27:39+00:00
75,awake,2023-10-11T23:30:06+00:00
79,awake,2023-10-11T23:30:36+00:00
80,awake,2023-10-11T23:31:16+00:00
80,awake,2023-10-11T23:44:52+00:00
82,awake,2023-10-11T23:44:54+00:00
84,awake,2023-10-11T23:44:55+00:00
84,awake,2023-10-11T23:48:02+00:00
78,awake,2023-10-11T23:48:05+00:00
87,awake,2023-10-11T23:48:16+00:00
69,awake,2023-10-11T23:50:34+00:00
72,awake,2023-10-11T23:50:38+00:00
66,awake,2023-10-11T23:51:09+00:00
76,awake,2023-10-11T23:59:57+00:00
71,awake,2023-10-12T00:00:07+00:00
67,awake,2023-10-12T00:01:13+00:00
66,awake,2023-10-12T00:18:46+00:00
